,invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
0,c0891b3c-6982-4272-a7cc-6e754fdcbaf3,20b12db6-2b85-4e98-b36b-cd76c774ec60,Male,19,Sports,4,779.6,Cash,2023-05-07,Istinye Park
1,4f7e0768-a2fc-4b07-8610-60d3b06b4059,6d55ba7f-7bba-4528-803a-8979e91ebb02,Female,27,Clothing,8,563.84,Online,2024-09-07,Forum Istanbul
2,39cd002c-8a67-479d-a995-6df279cda856,6436ca09-a589-4f39-9096-762dd06fcb28,Male,55,Sports,4,724.48,Credit Card,2023-02-21,Istinye Park
3,72e7b29d-36e0-4ec2-b5f1-54ab66884b1f,71754dfb-9daa-499d-9206-905badafae90,Female,43,Sports,8,62.52,Debit Card,2024-02-13,Istinye Park
4,f2837e32-7e15-406f-98b4-3a2da948b74c,a8e209e3-e93e-4f0e-93a6-5f83cd1d6225,Male,55,Home & Garden,5,186.2,Cash,2024-11-08,Istinye Park
5,1b6ff6c1-dd37-428e-95e6-455a64f32101,348773f3-4352-40f4-9c31-f3dc2e12b79a,Female,20,Clothing,8,397.54,Credit Card,2023-07-17,Istinye Park
6,a1e3d790-b735-4d5c-9cdc-0cd358aef0b2,12d8bc5c-2b31-4f89-985d-a33fe8aa6b82,Male,28,Clothing,4,836.89,Credit Card,2023-12-17,Forum Istanbul
7,c30fce2e-1fc3-4508-b17c-a269aba70fcd,108de185-2e45-4328-9afe-3fd782f990d8,Male,54,Clothing,8,723.85,Debit Card,2024-04-29,Forum Istanbul
8,d6180a02-8e44-4394-9dd9-256604b1cebe,5e67cad7-54e7-4cf4-8738-37a360f1bd48,Male,50,Clothing,7,378.21,Cash,2024-07-28,Kanyon
9,018b2949-6b42-40ed-a08d-84b6b79825b6,8351d99f-db86-41b5-a62c-c12b94c99369,Male,61,Clothing,3,987.32,Credit Card,2024-02-06,Cevahir AVM
10,dfd0c256-2e46-47f0-a7f6-85a60133788f,3f2efc71-09f5-47e0-aa03-1728a15b901c,Male,68,Clothing,1,933.71,Online,2023-05-20,Kanyon
11,f8922035-5423-4062-b61e-a04d885f3030,94c49343-dafe-4163-af67-90fb32d7b083,Female,23,Clothing,7,70.21,Online,2024-03-15,Istinye Park
12,2fb3152f-4216-48f2-bfc6-08d2965bde61,23e9f2f0-b9a0-4e09-85c4-029e9ef34056,Female,24,Clothing,3,754.86,Credit Card,2024-08-15,Metropol AVM
13,ebcae0f8-fbeb-4b00-a72f-e1fe562c1392,6a8e1b28-a47d-4026-8322-2a736df31ffb,Female,54,Home & Garden,9,80.03,Online,2023-11-03,Cevahir AVM
14,8fa449e6-9749-4c83-8497-ab34e0e94303,bd3615b6-32b6-40cf-85c5-e8c95deef68c,Female,37,Toys,2,994.45,Debit Card,2024-10-09,Istinye Park
15,e4e35a31-c9e9-496c-b3e4-2e511d5015f2,1524dd2a-bd5c-4d87-859e-cd56d0c658c9,Female,51,Toys,10,950.9,Online,2023-08-01,Cevahir AVM
16,ab070bf7-bba1-45a0-8ce2-2ee1fbf7344c,2a93b795-3c77-42bf-b54d-7a3914613995,Male,53,Clothing,1,325.32,Debit Card,2024-01-23,Istinye Park
17,e41b8d86-f41d-4a44-b5ca-3593bcf63d73,aa717a8a-cc9c-4c83-8222-ccf8b552e2a3,Female,60,Sports,3,706.57,Credit Card,2023-07-23,Cevahir AVM
18,0c7374b0-1f04-43f9-a407-6f59c64af496,eda87eb5-3f94-4e8e-b5db-9015f31bd7da,Male,38,Electronics,4,783.79,Cash,2023-12-28,Cevahir AVM
19,5c7c6322-6950-4e27-ad19-5a249b72d347,be444df2-8b46-4e49-afd2-0de240f8411b,Male,29,Electronics,2,924.18,Online,2023-03-10,Kanyon
20,a74945f8-fa4b-4b7e-b9ba-51ceaeb5dc1a,50db3ef8-aa75-4962-8899-19e60f76c15f,Female,35,Clothing,3,758.8,Debit Card,2023-08-14,Istinye Park
21,a80f663e-7a66-4ee7-8886-ccf47046ceb2,f0cf5a24-20f6-4267-8a05-5e6d38596619,Male,68,Toys,7,468.56,Online,2024-09-13,Istinye Park
22,f0e6fc32-6f63-4f96-8e3f-0e9c0ddaa3cb,f1af7d2a-df4a-4931-a640-44dcf5495018,Female,55,Sports,5,313.21,Cash,2024-10-04,Cevahir AVM
23,c55f379a-e426-4f93-b00c-1cef784649d2,fe50aebe-b1a8-4602-b489-09d836832337,Male,64,Home & Garden,2,883.71,Credit Card,2024-11-07,Metropol AVM
24,6efe787d-7475-4caa-beef-d2f87c787763,ce486ef5-a063-4d58-ae2c-3687f74a0b2b,Female,27,Clothing,6,195.7,Cash,2023-12-19,Kanyon
25,a49d7bd1-63b9-4801-9d8e-a0a22a206316,714dc873-ffd3-4cdf-8c30-29f53a7f7d44,Male,42,Clothing,4,470.5,Online,2024-09-08,Metrocity
26,158a8651-431e-4b98-a4a0-a8398db0e74f,7dce4878-7af3-4fb7-8b0d-41a352213ce2,Female,25,Home & Garden,2,79.13,Online,2023-12-20,Cevahir AVM
