invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
INV1,CUST1,Female,38,Clothing,9,135.5742445,Debit Card,14-03-2023,Emaar Square Mall
INV2,CUST2,Male,40,Sports,1,78.07702099,Cash,30-04-2024,Zorlu Center
INV3,CUST3,Female,52,Clothing,9,484.1265091,Credit Card,19-07-2024,Kanyon
INV4,CUST4,Female,23,Home & Garden,3,411.528891,Debit Card,31-12-2023,Zorlu Center
INV5,CUST5,Male,54,Home & Garden,5,222.1665205,Credit Card,24-01-2023,Istinye Park
INV6,CUST6,Male,62,Toys,6,422.540969,Credit Card,28-07-2024,Mall of Istanbul
INV7,CUST7,Female,24,Electronics,9,371.5998727,Debit Card,03-07-2024,Mall of Istanbul
INV8,CUST8,Male,28,Toys,4,72.73068907,Cash,25-06-2024,Viaport Outlet
INV9,CUST9,Male,57,Home & Garden,2,194.939955,Debit Card,08-02-2024,Viaport Outlet
INV10,CUST10,Female,22,Clothing,6,325.2577135,Cash,28-11-2023,Viaport Outlet
INV11,CUST11,Male,45,Toys,4,489.0825931,Cash,20-06-2023,Metrocity
INV12,CUST12,Male,59,Electronics,9,416.0241774,Debit Card,04-01-2024,Kanyon
INV13,CUST13,Male,33,Toys,2,14.08078531,Cash,12-04-2023,Metropol AVM
INV14,CUST14,Female,44,Electronics,9,499.441306,Cash,31-07-2024,Kanyon
INV15,CUST15,Female,39,Sports,8,445.1872553,Credit Card,01-06-2024,Viaport Outlet
INV16,CUST16,Female,36,Electronics,3,172.587098,Cash,30-04-2023,Istinye Park
INV17,CUST17,Male,48,Electronics,4,157.8166812,Cash,16-04-2023,Emaar Square Mall
INV18,CUST18,Female,28,Home & Garden,6,209.9345655,Cash,25-04-2023,Metropol AVM
INV19,CUST19,Male,45,Electronics,9,115.9109639,Cash,19-05-2024,Cevahir AVM
INV20,CUST20,Male,34,Electronics,1,268.7375698,Credit Card,27-03-2023,Metropol AVM
INV21,CUST21,Male,45,Toys,6,490.4075776,Debit Card,15-09-2023,Viaport Outlet
INV22,CUST22,Male,35,Electronics,3,469.5685139,Cash,20-11-2023,Zorlu Center
INV23,CUST23,Female,63,Toys,7,83.75794225,Debit Card,04-09-2023,Zorlu Center
INV24,CUST24,Male,64,Toys,9,161.5525182,Credit Card,06-09-2024,Forum Istanbul
INV25,CUST25,Female,56,Clothing,6,265.2095714,Cash,25-01-2023,Viaport Outlet
INV26,CUST26,Male,37,Clothing,3,293.4402265,Credit Card,18-05-2023,Emaar Square Mall
INV27,CUST27,Female,38,Toys,1,424.6669822,Debit Card,14-11-2023,Metrocity
INV28,CUST28,Male,64,Clothing,3,72.14413796,Credit Card,26-07-2023,Mall of Istanbul
INV29,CUST29,Male,49,Sports,1,80.59837957,Cash,13-03-2023,Emaar Square Mall
INV30,CUST30,Male,43,Sports,7,115.5696815,Debit Card,30-04-2023,Forum Istanbul
INV31,CUST31,Male,47,Electronics,6,348.5916876,Credit Card,04-04-2024,Metropol AVM
INV32,CUST32,Male,57,Electronics,2,383.6254304,Credit Card,29-05-2023,Cevahir AVM
INV33,CUST33,Female,21,Sports,9,10.51169852,Debit Card,20-01-2023,Metrocity
INV34,CUST34,Male,33,Toys,1,246.1461661,Credit Card,18-08-2024,Kanyon
INV35,CUST35,Female,39,Toys,9,324.23967,Credit Card,30-06-2024,Metrocity
INV36,CUST36,Male,44,Home & Garden,3,417.1512206,Cash,23-03-2024,Metrocity
INV37,CUST37,Female,53,Sports,3,142.4506389,Cash,17-09-2024,Viaport Outlet
INV38,CUST38,Female,26,Electronics,3,386.7847847,Debit Card,18-05-2023,Cevahir AVM
INV39,CUST39,Female,32,Toys,4,218.4943571,Cash,08-09-2024,Metropol AVM
INV40,CUST40,Female,32,Electronics,6,320.3497652,Cash,08-06-2023,Istinye Park
INV41,CUST41,Male,38,Toys,4,334.871892,Credit Card,08-01-2023,Viaport Outlet
INV42,CUST42,Male,29,Electronics,1,101.9610558,Cash,29-07-2024,Metrocity
INV43,CUST43,Male,41,Electronics,5,183.8392528,Cash,18-04-2023,Metrocity
INV44,CUST44,Female,48,Clothing,7,85.60082687,Debit Card,03-01-2023,Viaport Outlet
INV45,CUST45,Male,62,Toys,6,251.08816,Credit Card,23-06-2024,Viaport Outlet
INV46,CUST46,Male,60,Toys,3,364.9462291,Debit Card,10-05-2024,Cevahir AVM
INV47,CUST47,Male,58,Clothing,5,217.0029259,Cash,14-08-2023,Cevahir AVM
INV48,CUST48,Female,55,Home & Garden,6,326.2780816,Cash,03-09-2024,Istinye Park
INV49,CUST49,Female,32,Home & Garden,2,127.0400565,Credit Card,15-09-2024,Forum Istanbul
INV50,CUST50,Male,24,Electronics,3,223.3306453,Cash,05-11-2023,Istinye Park
INV51,CUST51,Male,57,Electronics,2,374.2993461,Credit Card,13-06-2024,Metrocity
INV52,CUST52,Female,35,Home & Garden,8,417.0193757,Credit Card,14-12-2023,Forum Istanbul
INV53,CUST53,Female,18,Clothing,2,337.8540693,Debit Card,23-02-2024,Metrocity
INV54,CUST54,Male,54,Electronics,3,396.8173481,Debit Card,02-06-2023,Kanyon
INV55,CUST55,Female,45,Sports,3,464.8498447,Cash,21-12-2023,Cevahir AVM
INV56,CUST56,Male,30,Sports,1,300.250291,Credit Card,17-10-2023,Viaport Outlet
INV57,CUST57,Male,19,Electronics,4,463.1687579,Debit Card,18-04-2024,Metrocity
INV58,CUST58,Male,43,Sports,8,413.9401568,Debit Card,06-04-2023,Metropol AVM
INV59,CUST59,Male,48,Sports,3,371.1230118,Cash,09-11-2023,Cevahir AVM
INV60,CUST60,Female,61,Toys,4,76.45086946,Cash,10-07-2024,Viaport Outlet
INV61,CUST61,Male,41,Toys,8,219.61412,Credit Card,20-08-2024,Forum Istanbul
INV62,CUST62,Female,62,Home & Garden,7,54.32271998,Cash,27-05-2024,Zorlu Center
INV63,CUST63,Male,25,Toys,4,391.1639059,Cash,03-05-2024,Forum Istanbul
INV64,CUST64,Male,39,Clothing,9,347.5246959,Credit Card,13-05-2024,Metropol AVM
INV65,CUST65,Female,33,Home & Garden,8,235.5572725,Cash,29-04-2024,Metropol AVM
INV66,CUST66,Male,20,Sports,8,265.9519891,Cash,14-01-2023,Forum Istanbul
INV67,CUST67,Female,27,Home & Garden,9,430.0859872,Debit Card,16-02-2023,Metropol AVM
INV68,CUST68,Male,24,Electronics,5,46.62065354,Cash,14-04-2024,Cevahir AVM
INV69,CUST69,Female,64,Toys,6,237.1573657,Debit Card,01-09-2024,Emaar Square Mall
INV70,CUST70,Male,63,Clothing,8,277.1436638,Credit Card,06-07-2023,Mall of Istanbul
INV71,CUST71,Male,59,Toys,8,476.8357129,Debit Card,31-10-2023,Kanyon
INV72,CUST72,Male,38,Clothing,1,498.7083519,Credit Card,17-03-2024,Kanyon
INV73,CUST73,Female,25,Electronics,5,78.19005677,Credit Card,15-05-2024,Emaar Square Mall
INV74,CUST74,Male,21,Electronics,1,468.3285395,Cash,09-12-2023,Mall of Istanbul
