invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I138884,C178227,Female,28,Clothing,5,1500.4,Credit Card,08-05-2022,Kanyon
I227836,C261635,Female,28,Clothing,5,1500.4,Credit Card,24-05-2022,Forum Istanbul
I121056,C594670,Female,49,Cosmetics,1,40.66,Cash,13-03-2022,Istinye Park
I306368,C177872,Female,36,Food & Beverage,2,10.46,Cash,25-12-2022,Metrocity
I139207,C127447,Female,29,Books,1,15.15,Credit Card,28-10-2022,Emaar Square Mall
I640508,C134039,Female,67,Toys,4,143.36,Debit Card,31-07-2022,Metrocity
I179802,C119088,Male,25,Clothing,2,600.16,Cash,17-11-2022,Cevahir AVM
I336189,C222694,Female,67,Clothing,2,600.16,Credit Card,06-03-2022,Kanyon
I195744,C628063,Female,42,Food & Beverage,3,15.69,Credit Card,01-05-2022,Zorlu Center
I992454,C193274,Male,24,Toys,4,143.36,Cash,03-07-2023,Cevahir AVM
I183746,C235090,Male,23,Clothing,1,300.08,Credit Card,15-02-2023,Emaar Square Mall
I823067,C236169,Male,52,Clothing,2,600.16,Credit Card,18-06-2022,Cevahir AVM
I174250,C718508,Female,42,Books,5,75.75,Cash,16-12-2022,Metrocity
I196704,C320610,Female,25,Cosmetics,5,203.3,Credit Card,20-04-2022,Mall of Istanbul
I217053,C338429,Male,50,Shoes,4,2400.68,Cash,10-10-2022,Emaar Square Mall
I655874,C207437,Female,65,Shoes,3,1800.51,Cash,23-08-2022,Cevahir AVM
I161949,C197019,Female,66,Toys,3,107.52,Debit Card,07-04-2022,Mall of Istanbul
I768348,C337644,Female,32,Shoes,3,1800.51,Credit Card,23-02-2022,Kanyon
I167211,C172461,Female,66,Shoes,4,2400.68,Credit Card,30-08-2022,Zorlu Center
I339732,C837885,Male,68,Food & Beverage,1,5.23,Credit Card,01-04-2023,Emaar Square Mall
I147062,C163432,Male,43,Clothing,5,1500.4,Credit Card,21-06-2022,Kanyon
I187519,C496138,Female,59,Clothing,2,600.16,Credit Card,07-08-2022,Metrocity
I106674,C309032,Male,54,Clothing,2,600.16,Cash,27-02-2022,Kanyon
I473411,C337278,Male,24,Clothing,1,300.08,Cash,19-12-2022,Metropol AVM
I138674,C167158,Male,67,Cosmetics,2,81.32,Credit Card,14-02-2022,Metropol AVM
I752693,C157856,Female,48,Cosmetics,3,121.98,Cash,28-04-2022,Metrocity
I826174,C330941,Female,40,Shoes,4,2400.68,Cash,20-06-2022,Metrocity
I296025,C204703,Female,41,Shoes,3,1800.51,Credit Card,21-04-2022,Kanyon
I117291,C254403,Male,46,Books,5,75.75,Credit Card,12-09-2022,Zorlu Center
I267193,C139167,Female,19,Cosmetics,3,121.98,Credit Card,01-12-2023,Mall of Istanbul
I205366,C530461,Female,43,Clothing,4,1200.32,Debit Card,11-07-2022,Zorlu Center
I269690,C290275,Male,18,Cosmetics,3,121.98,Debit Card,02-07-2022,Zorlu Center
I202367,C144206,Female,41,Books,3,45.45,Cash,24-02-2023,Istinye Park
I664787,C990641,Female,53,Cosmetics,2,81.32,Credit Card,01-12-2023,Istinye Park
I160777,C294062,Female,43,Technology,4,4200,Cash,22-02-2022,Metrocity
I148377,C196149,Female,29,Clothing,1,300.08,Cash,01-02-2022,Istinye Park
I133061,C119658,Male,64,Clothing,5,1500.4,Credit Card,06-09-2022,Mall of Istanbul
I157285,C270816,Male,66,Clothing,4,1200.32,Cash,03-06-2022,Mall of Istanbul
I218590,C204658,Female,29,Cosmetics,4,162.64,Debit Card,05-09-2022,Metropol AVM
I181109,C130347,Male,22,Toys,3,107.52,Cash,17-10-2022,Mall of Istanbul
I221715,C287017,Female,63,Food & Beverage,3,15.69,Cash,22-01-2022,Cevahir AVM
I115146,C250180,Female,24,Cosmetics,5,203.3,Cash,27-04-2022,Metrocity
I402376,C234631,Male,34,Shoes,5,3000.85,Cash,09-10-2022,Forum Istanbul
I292239,C284418,Male,38,Food & Beverage,5,26.15,Cash,21-08-2022,Mall of Istanbul
I260525,C168008,Male,67,Toys,3,107.52,Cash,01-07-2023,Emaar Square Mall
I190444,C205997,Female,47,Food & Beverage,5,26.15,Cash,20-07-2022,Mall of Istanbul
I306076,C332608,Male,40,Toys,2,71.68,Cash,11-01-2022,Emaar Square Mall
I321683,C670220,Male,60,Cosmetics,4,162.64,Credit Card,01-06-2023,Metrocity
I340014,C305425,Female,66,Clothing,2,600.16,Credit Card,09-08-2022,Istinye Park
I249424,C377356,Male,22,Food & Beverage,1,5.23,Cash,18-02-2022,Mall of Istanbul
I140663,C199864,Female,52,Clothing,5,1500.4,Cash,15-10-2022,Zorlu Center
I253242,C131786,Male,26,Shoes,5,3000.85,Cash,04-07-2022,Mall of Istanbul
I108359,C294963,Male,66,Food & Beverage,1,5.23,Cash,06-07-2022,Mall of Istanbul
I195567,C209722,Male,65,Clothing,4,1200.32,Debit Card,22-01-2023,Metropol AVM
I289643,C147703,Female,43,Technology,2,2100,Cash,22-08-2022,Kanyon
I215721,C319084,Female,25,Cosmetics,2,81.32,Debit Card,16-12-2022,Metrocity
I297270,C230696,Male,62,Clothing,5,1500.4,Credit Card,31-12-2022,Metropol AVM
I153930,C306755,Male,39,Food & Beverage,3,15.69,Cash,08-09-2022,Forum Istanbul
I282854,C260468,Female,33,Clothing,3,900.24,Cash,31-07-2022,Kanyon
I283443,C218573,Male,43,Technology,3,3150,Credit Card,25-05-2022,Viaport Outlet
I193271,C127718,Female,40,Food & Beverage,3,15.69,Debit Card,23-12-2022,Kanyon
I985478,C659738,Male,55,Clothing,4,1200.32,Credit Card,24-01-2023,Kanyon
I256691,C114989,Male,24,Cosmetics,1,40.66,Cash,02-04-2022,Metrocity
I796162,C303507,Female,30,Food & Beverage,5,26.15,Credit Card,01-06-2022,Metrocity
I224371,C513899,Male,34,Clothing,5,1500.4,Credit Card,02-01-2022,Mall of Istanbul
I215998,C109905,Female,64,Clothing,5,1500.4,Cash,26-10-2022,Cevahir AVM
I338966,C125946,Female,57,Clothing,5,1500.4,Cash,21-09-2022,Mall of Istanbul
I157775,C173469,Male,48,Clothing,1,300.08,Cash,19-03-2022,Kanyon
I317140,C107092,Female,56,Souvenir,5,58.65,Cash,19-10-2022,Istinye Park
I147334,C251927,Male,35,Clothing,2,600.16,Cash,01-12-2022,Viaport Outlet
I134452,C127447,Female,32,Clothing,1,300.08,Credit Card,15-01-2023,Forum Istanbul
I740676,C597386,Female,56,Clothing,2,600.16,Credit Card,21-09-2022,Istinye Park
I164665,C177872,Female,64,Technology,2,2100,Cash,30-04-2022,Kanyon
I276763,C950205,Male,64,Toys,5,179.2,Debit Card,21-02-2022,Kanyon
I160221,C194388,Male,25,Clothing,3,900.24,Cash,08-01-2022,Mall of Istanbul
I151588,C224474,Male,24,Books,3,45.45,Credit Card,04-12-2022,Metrocity
I247471,C230696,Female,22,Toys,1,35.84,Cash,18-12-2022,Mall of Istanbul
I362306,C419768,Female,21,Clothing,1,300.08,Credit Card,19-09-2022,Metrocity
I215279,C322994,Female,31,Clothing,2,600.16,Credit Card,02-01-2023,Kanyon
I216061,C183393,Female,61,Food & Beverage,3,15.69,Credit Card,10-05-2022,Mall of Istanbul
I259878,C228581,Male,44,Clothing,4,1200.32,Credit Card,10-12-2022,Metropol AVM
I206422,C168973,Female,48,Food & Beverage,2,10.46,Credit Card,28-09-2022,Kanyon
I307534,C187899,Female,28,Cosmetics,4,162.64,Cash,26-03-2022,Viaport Outlet
I259196,C100672,Female,43,Toys,4,143.36,Credit Card,17-05-2022,Cevahir AVM
I141241,C757821,Male,54,Souvenir,5,58.65,Credit Card,04-11-2022,Kanyon
I323788,C153963,Female,32,Clothing,1,300.08,Credit Card,17-03-2022,Metropol AVM
I285454,C321169,Female,41,Souvenir,5,58.65,Credit Card,23-06-2022,Metropol AVM
I134126,C858138,Male,22,Clothing,1,300.08,Debit Card,30-08-2022,Istinye Park
I167993,C298800,Male,40,Toys,2,71.68,Cash,20-02-2022,Kanyon
I222086,C321053,Male,37,Clothing,5,1500.4,Cash,02-09-2023,Emaar Square Mall
I184307,C238833,Male,22,Food & Beverage,1,5.23,Credit Card,25-08-2022,Kanyon
I416544,C147703,Female,25,Food & Beverage,2,10.46,Credit Card,28-05-2022,Metrocity
I601026,C143781,Female,66,Souvenir,5,58.65,Credit Card,03-05-2022,Zorlu Center
I170160,C121513,Male,34,Toys,2,71.68,Debit Card,26-02-2023,Metrocity
I143353,C579018,Female,59,Souvenir,5,58.65,Cash,15-05-2022,Metrocity
I278401,C408981,Female,53,Toys,1,35.84,Debit Card,31-01-2023,Mall of Istanbul
I244241,C184299,Female,23,Clothing,5,1500.4,Credit Card,08-03-2022,Viaport Outlet
I165202,C827434,Female,56,Cosmetics,4,162.64,Cash,21-11-2022,Mall of Istanbul
I248153,C742485,Female,44,Food & Beverage,1,5.23,Cash,07-03-2022,Metropol AVM
I318831,C226784,Female,41,Cosmetics,4,162.64,Credit Card,15-07-2022,Viaport Outlet
I334246,C323715,Female,23,Cosmetics,3,121.98,Cash,19-05-2022,Mall of Istanbul
I198233,C290632,Female,31,Cosmetics,4,162.64,Cash,13-02-2023,Metropol AVM
I310819,C144227,Male,26,Cosmetics,5,203.3,Credit Card,27-11-2022,Forum Istanbul
I156233,C326318,Female,20,Clothing,1,300.08,Credit Card,01-11-2023,Mall of Istanbul
I295784,C601645,Female,54,Cosmetics,3,121.98,Credit Card,06-08-2022,Forum Istanbul
I530401,C143851,Female,32,Technology,2,2100,Cash,25-09-2022,Zorlu Center
I316629,C326496,Female,41,Souvenir,3,35.19,Cash,16-01-2022,Cevahir AVM
I795251,C191237,Male,33,Cosmetics,5,203.3,Cash,13-11-2022,Kanyon
I286193,C203231,Male,37,Cosmetics,3,121.98,Cash,23-07-2022,Istinye Park
I147727,C762278,Female,38,Books,1,15.15,Credit Card,17-04-2022,Kanyon
I504141,C108003,Female,56,Cosmetics,1,40.66,Credit Card,23-02-2023,Kanyon
I606511,C104994,Female,37,Souvenir,2,23.46,Credit Card,09-09-2022,Viaport Outlet
I151764,C177024,Female,53,Clothing,5,1500.4,Cash,30-06-2022,Kanyon
I737630,C160616,Male,69,Clothing,5,1500.4,Cash,15-04-2022,Metropol AVM
I160585,C227271,Male,26,Cosmetics,2,81.32,Cash,02-05-2022,Metropol AVM
I771414,C114989,Male,63,Food & Beverage,3,15.69,Cash,12-09-2022,Forum Istanbul
I291540,C172461,Male,25,Food & Beverage,1,5.23,Debit Card,17-07-2022,Kanyon
I232338,C288010,Female,18,Clothing,4,1200.32,Debit Card,22-09-2022,Metropol AVM
I525798,C300464,Male,46,Cosmetics,4,162.64,Cash,02-03-2023,Mall of Istanbul
I165687,C832010,Female,61,Clothing,3,900.24,Cash,12-08-2022,Metropol AVM
I169015,C208750,Female,38,Clothing,5,1500.4,Credit Card,08-11-2022,Mall of Istanbul
I187171,C258404,Male,33,Toys,4,143.36,Credit Card,27-05-2022,Istinye Park
I148276,C176992,Female,63,Clothing,4,1200.32,Debit Card,12-07-2022,Zorlu Center
I783231,C152838,Female,21,Clothing,5,1500.4,Debit Card,01-05-2022,Cevahir AVM
I313426,C127819,Female,41,Cosmetics,4,162.64,Debit Card,04-05-2022,Kanyon
I112291,C328756,Female,48,Food & Beverage,1,5.23,Credit Card,01-10-2022,Cevahir AVM
I402983,C216362,Male,27,Technology,1,1050,Debit Card,30-01-2022,Kanyon
I155076,C199461,Female,22,Toys,5,179.2,Credit Card,21-12-2022,Kanyon
I218385,C321169,Female,51,Toys,1,35.84,Cash,19-07-2022,Metrocity
I198698,C896170,Female,29,Clothing,1,300.08,Debit Card,15-01-2023,Metropol AVM
I428118,C619461,Female,44,Shoes,2,1200.34,Credit Card,01-12-2023,Kanyon
I204147,C125800,Female,20,Shoes,3,1800.51,Credit Card,11-05-2022,Kanyon
I915945,C889949,Female,23,Clothing,4,1200.32,Credit Card,30-06-2022,Metropol AVM
I165461,C108639,Female,25,Clothing,1,300.08,Credit Card,11-01-2022,Emaar Square Mall
I762381,C643008,Male,63,Shoes,1,600.17,Cash,27-10-2022,Kanyon
I818298,C289318,Male,21,Clothing,5,1500.4,Debit Card,21-08-2022,Kanyon
I215578,C208844,Male,39,Cosmetics,2,81.32,Credit Card,08-04-2022,Kanyon
I239285,C309032,Female,62,Cosmetics,3,121.98,Credit Card,13-11-2022,Viaport Outlet
I723062,C318606,Female,42,Clothing,4,1200.32,Credit Card,08-12-2022,Kanyon
I353329,C319412,Female,68,Toys,2,71.68,Credit Card,18-09-2022,Metrocity
I251743,C896170,Male,44,Toys,3,107.52,Debit Card,19-06-2022,Kanyon
I964173,C264437,Female,52,Clothing,3,900.24,Debit Card,15-12-2022,Emaar Square Mall
I251855,C306908,Female,68,Cosmetics,3,121.98,Credit Card,19-06-2022,Cevahir AVM
I239703,C309927,Male,23,Food & Beverage,3,15.69,Credit Card,17-01-2023,Kanyon
I156413,C199941,Male,34,Cosmetics,5,203.3,Debit Card,20-01-2022,Metrocity
I158683,C278483,Female,33,Souvenir,2,23.46,Debit Card,31-07-2022,Metrocity
I119809,C988693,Female,24,Food & Beverage,1,5.23,Debit Card,04-06-2022,Zorlu Center
I319942,C272347,Male,53,Cosmetics,5,203.3,Debit Card,14-11-2022,Mall of Istanbul
I106271,C335089,Male,31,Clothing,1,300.08,Debit Card,22-12-2022,Mall of Istanbul
I282789,C815614,Female,67,Cosmetics,2,81.32,Cash,18-02-2022,Istinye Park
I208631,C109090,Female,68,Technology,2,2100,Credit Card,27-07-2022,Kanyon
I139308,C112446,Female,59,Souvenir,2,23.46,Credit Card,04-06-2022,Emaar Square Mall
I177201,C116347,Female,66,Clothing,5,1500.4,Cash,02-04-2022,Forum Istanbul
I263818,C312277,Male,69,Souvenir,4,46.92,Cash,26-06-2022,Zorlu Center
I174966,C776956,Male,27,Food & Beverage,5,26.15,Cash,25-07-2022,Mall of Istanbul
I207465,C116347,Female,27,Clothing,2,600.16,Cash,10-10-2022,Istinye Park
I191148,C335089,Female,43,Technology,2,2100,Credit Card,29-03-2022,Forum Istanbul
I215141,C221934,Female,19,Souvenir,1,11.73,Cash,25-01-2022,Kanyon
I281274,C121513,Male,20,Clothing,1,300.08,Cash,09-04-2022,Kanyon
I135898,C281292,Female,23,Toys,2,71.68,Debit Card,14-08-2022,Metropol AVM
I943072,C762278,Female,52,Cosmetics,2,81.32,Cash,02-03-2022,Metrocity
I133240,C132004,Male,58,Toys,3,107.52,Credit Card,14-06-2022,Zorlu Center
I247747,C184180,Male,35,Shoes,2,1200.34,Cash,01-11-2022,Istinye Park
I542618,C247349,Female,50,Cosmetics,3,121.98,Debit Card,22-02-2022,Emaar Square Mall
I216982,C296972,Female,48,Souvenir,4,46.92,Cash,01-02-2023,Metrocity
I317443,C144386,Female,39,Toys,1,35.84,Credit Card,23-11-2022,Mall of Istanbul
I115679,C264869,Male,27,Clothing,1,300.08,Cash,01-10-2023,Kanyon
I227707,C257469,Female,34,Shoes,4,2400.68,Cash,01-10-2022,Viaport Outlet
I238456,C986860,Female,65,Food & Beverage,1,5.23,Cash,08-06-2022,Kanyon
I940840,C950897,Female,53,Cosmetics,2,81.32,Cash,19-02-2023,Istinye Park
I183571,C270709,Female,31,Food & Beverage,1,5.23,Credit Card,02-07-2022,Metrocity
I199384,C143638,Male,58,Books,4,60.6,Credit Card,24-03-2022,Kanyon
I300557,C537541,Female,34,Cosmetics,3,121.98,Debit Card,17-09-2022,Istinye Park
I299125,C259810,Male,27,Souvenir,4,46.92,Credit Card,21-11-2022,Kanyon
I720017,C407728,Female,28,Food & Beverage,2,10.46,Credit Card,09-04-2022,Kanyon
I306845,C242182,Female,46,Food & Beverage,4,20.92,Credit Card,09-02-2022,Mall of Istanbul
I305432,C376605,Male,39,Toys,3,107.52,Credit Card,26-01-2023,Mall of Istanbul
I224122,C640700,Male,44,Clothing,5,1500.4,Credit Card,07-01-2022,Mall of Istanbul
I119142,C643008,Female,35,Cosmetics,5,203.3,Debit Card,25-01-2023,Cevahir AVM
I117526,C258089,Male,48,Cosmetics,5,203.3,Credit Card,23-09-2022,Emaar Square Mall
I243930,C387074,Female,52,Technology,3,3150,Debit Card,31-10-2022,Istinye Park
I339004,C135162,Male,64,Clothing,4,1200.32,Credit Card,15-07-2022,Mall of Istanbul
I332582,C898848,Female,41,Souvenir,5,58.65,Cash,28-10-2022,Metropol AVM
